Variable Name,Multiplier,Equation for Multiplier,Updated Multiplier,Factory Set Constant,Customer Dependant Variable,Customer Variable,COST/RATE (£),TOTAL (£),Equation for TOTAL (£)
ONE ITEM (number),1.0,"df.loc[""ONE ITEM (number)"", ""Multiplier""]",0,0,1,0,0.0,2.2070047695195196,"df.loc[""TOTAL (£)"", ""QUANTITY INCLUDING OVERS (number)""]/df.loc[""Multiplier"", ""QUANTITY INCLUDING OVERS (number)""]"
QUANTITY REQUIRED BY CUSTOMER (number),7000.0,"df.loc[""QUANTITY REQUIRED BY CUSTOMER (number)"", ""Multiplier""]",0.0,0.0,0.0,1.0,0.0,0.0,"df.loc[""QUANTITY REQUIRED BY CUSTOMER (number)"", ""TOTAL (£)""]"
QUANTITY INCLUDING OVERS (number),7400.0,"(df.loc[""Multiplier"", ""QUANTITY REQUIRED BY CUSTOMER (number)""]*1.05)+(50)",0,0,1,0,0.0,16331.835294444445,"df.loc[""TOTAL (£)"", ""MECHANISM (number)"":""TOTAL (£)""].sum()"
MECHANISM (number),0.0,"df.loc[""MECHANISM (number)"", ""Multiplier""]",0,1,0,0,0.5,0.0,"df.loc[""Multiplier"", ""MECHANISM (number)""]*df.loc[""COST/RATE (£)"", ""MECHANISM (number)""]"
UNIT WEIGHT FOR CARRIAGE (kg),0.2,"df.loc[""UNIT WEIGHT FOR CARRIAGE (kg)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""UNIT WEIGHT FOR CARRIAGE (kg)"", ""TOTAL (£)""]"
THICKNESS OF DUTCH GREY BOARD (mm),2.0,"df.loc[""THICKNESS OF DUTCH GREY BOARD (mm)"", ""Multiplier""]",0.0,1.0,0.0,0.0,0.0,0.0,"df.loc[""THICKNESS OF DUTCH GREY BOARD (mm)"", ""TOTAL (£)""]"
FLAT SIZE Length (mm),400.0,"df.loc[""FLAT SIZE Length (mm)"", ""Multiplier""]",0.0,0.0,0.0,1.0,0.0,0.0,"df.loc[""FLAT SIZE Length (mm)"", ""TOTAL (£)""]"
FLAT SIZE Width (mm),400.0,"df.loc[""FLAT SIZE Width (mm)"", ""Multiplier""]",0.0,0.0,0.0,1.0,0.0,0.0,"df.loc[""FLAT SIZE Width (mm)"", ""TOTAL (£)""]"
FLAT SIZE Area (m^2),0.16,"df.loc[""Multiplier"", ""FLAT SIZE Length (mm)""]*df.loc[""Multiplier"", ""FLAT SIZE Width (mm)""]/1000000",0,0,1,0,0.0,0.0,"df.loc[""FLAT SIZE Area (m^2)"", ""TOTAL (£)""]"
OUTER WRAP SIZE Length (mm),440.0,"df.loc[""Multiplier"", ""FLAT SIZE Length (mm)""]+40",0,0,0,1,0.0,0.0,"df.loc[""OUTER WRAP SIZE Length (mm)"", ""TOTAL (£)""]"
OUTER WRAP SIZE Width (mm),440.0,"df.loc[""Multiplier"", ""FLAT SIZE Width (mm)""]+40",0,0,0,1,0.0,0.0,"df.loc[""OUTER WRAP SIZE Width (mm)"", ""TOTAL (£)""]"
OUTER WRAP SIZE Area (m^2),0.1936,"df.loc[""Multiplier"", ""OUTER WRAP SIZE Length (mm)""]*df.loc[""Multiplier"", ""OUTER WRAP SIZE Width (mm)""]/1000000",0,0,1,0,0.0,0.0,"df.loc[""OUTER WRAP SIZE Area (m^2)"", ""TOTAL (£)""]"
LINER SIZE Length (mm),395.0,"df.loc[""Multiplier"", ""FLAT SIZE Length (mm)""]-5",0,0,0,1,0.0,0.0,"df.loc[""LINER SIZE Length (mm)"", ""TOTAL (£)""]"
LINER SIZE Width (mm),395.0,"df.loc[""Multiplier"", ""FLAT SIZE Width (mm)""]-5",0,0,0,1,0.0,0.0,"df.loc[""LINER SIZE Width (mm)"", ""TOTAL (£)""]"
LINER SIZE Area (m^2),0.156025,"df.loc[""Multiplier"", ""LINER SIZE Length (mm)""]*df.loc[""Multiplier"", ""LINER SIZE Width (mm)""]/1000000",0,0,1,0,0.0,0.0,"df.loc[""LINER SIZE Area (m^2)"", ""TOTAL (£)""]"
TOTAL AREA FOR GLUE (m^2),0.34962499999999996,"df.loc[""Multiplier"", ""OUTER WRAP SIZE Area (m^2)""]+df.loc[""Multiplier"", ""LINER SIZE Area (m^2)""]",0,0,1,0,0.0,0.0,"df.loc[""TOTAL AREA FOR GLUE (m^2)"", ""TOTAL (£)""]"
