Complexity,Loss,Equation
1,5.606655,"77.3658"
4,5.5976534,"log(x1) + 73.00604"
5,5.596863,"log(sqrt(x0)) + 74.057816"
6,5.5961537,"(log(x0) + 222.96999) * 0.33698872"
7,5.5930862,"log(x1 + sqrt(x0)) + 72.703255"
8,5.591379,"sqrt(sqrt(sqrt(x1 * x0))) + 73.420425"
9,5.5862327,"((log(x0) + sqrt(x1)) + 203.98451) * 0.35256517"
10,5.586138,"(sqrt(x1) + (sqrt(sqrt(x0)) + 218.48026)) * 0.3326463"
11,5.585754,"((log(x0) + 217.46906) + sqrt(x1 - x2)) * 0.3322488"
12,5.5855665,"sqrt((log(x0) + (sqrt(x1 - x2) + 87.09601)) * 58.454636)"
